pregunta,respuesta,recompensa,castigo
¿Cuánto es 2 + 2?, 4, diamond, prision
¿Cuál es la raíz cuadrada de 81?, 9, diamond, lava
¿Qué es 15 x 6?, 90, food, zombie
¿Cuánto es 100 / 4?, 25, food, tnt
¿Cuánto es 9 + 7?, 16, diamond, prision
¿Cuál es el resultado de 25 - 8?, 17, gold, prision
¿Qué es 12 x 12?, 144, gold, lava
¿Cuánto es 18 / 3?, 6, gold, zombie
¿Qué es 30 + 45?, 75, diamond, tnt
¿Cuál es el doble de 50?, 100, gold, prision
¿Cuánto es 15 + 5?, 20, diamond, prision
¿Cuál es la raíz cuadrada de 64?, 8, diamond, lava
¿Qué es 7 x 8?, 56, food, zombie
¿Cuánto es 50 / 5?, 10, food, tnt
¿Cuánto es 14 + 9?, 23, diamond, prision
¿Cuál es el resultado de 18 - 4?, 14, gold, prision
¿Qué es 10 x 15?, 150, gold, lava
¿Cuánto es 40 / 4?, 10, gold, zombie
¿Qué es 100 + 200?, 300, diamond, tnt
¿Cuál es el doble de 25?, 50, gold, prision
¿Cuánto es 6 x 9?, 54, diamond, lava
¿Qué es 5 + 11?, 16, food, zombie
¿Cuál es la raíz cuadrada de 49?, 7, food, prision
¿Qué es 9 x 12?, 108, gold, tnt
¿Cuánto es 35 + 13?, 48, diamond, prision
